PID COMMAND
3343 /usr/lib/firefox/firefox
3347 /usr/lib/thunderbird/thunderbird
3400 /usr/lib/libunity-webapps/unity-webapps-service
3498 /usr/sbin/console-kit-daemon
3697 update-notifier
3734 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
3890 /usr/bin/python3
4123 sshd:
4162 sshd:
4163 bash
4164 ps
4165 tr
4166 cut
