PID COMMAND
4561 /usr/lib/libunity-webapps/unity-webapps-service
4645 [kworker/u8:0]
4677 /usr/lib/cups/notifier/dbus
4683 /usr/bin/python3
4753 /lib/systemd/systemd-hostnamed
4762 /usr/bin/python3
4787 /usr/sbin/console-kit-daemon
5037 [kworker/1:0]
5193 file-roller
5277 sshd:
5279 tar
5280 gzip
5282 [kworker/u8:1]
5320 sshd:
5321 bash
5322 ps
5323 tr
5324 cut
